Grid_Cell,Year,Albedo,Conflict,Evap_mm,Humidity,NDVI,PET_mm,Rain_mm,Runoff_mm,SensHeat_Wm2,SoilM_mm,Temp_C,Wind_ms
Grid_Cell_101,2008,0.17328052,0,423.40134,0.005009028,0.16503517,2561.2961,403.73297,0.004152353,29.088572,185.41632,11.325953,3.9261587
Grid_Cell_101,2009,0.18801954,0,441.84033,0.004736228,0.1793028,2690.5134,487.15994,0.002858432,27.571867,192.3959,11.429163,4.113249
Grid_Cell_101,2010,0.20057315,0,430.64987,0.004946475,0.19610032,2837.7295,489.1493,0.005740004,25.515755,224.0069,12.595758,4.2732906
Grid_Cell_101,2011,0.19782239,0,509.57626,0.004966751,0.24010351,2696.6306,487.47525,0.005614277,24.408928,220.1777,10.461939,4.4823027
Grid_Cell_101,2012,0.25015214,0,404.96396,0.005200816,0.21843144,3004.5393,397.4398,0.014102951,25.920195,184.00201,11.551386,4.959228
Grid_Cell_101,2013,0.19334318,0,382.4568,0.00504841,0.07060722,3051.5876,372.39804,0.000665,33.098835,152.60016,12.302027,4.890775
Grid_Cell_101,2014,0.16524825,0,318.47482,0.0045799,0.062262338,3364.6055,309.24612,0.00073,38.30859,126.86419,11.547632,5.300845
Grid_Cell_101,2015,0.15507188,0,356.42505,0.004914274,0.05932268,3192.6191,358.31592,0.000545,41.59649,127.66964,12.594019,4.9794855
Grid_Cell_101,2016,0.1725648,0,325.84445,0.005375698,0.052028067,2815.42,343.71222,0.000586,39.030907,141.39894,12.066462,4.619524
Grid_Cell_101,2017,0.16680722,0,288.33893,0.005151513,0.05786085,3072.791,275.02847,0.001826695,40.24353,136.0929,12.500208,4.870976
Grid_Cell_101,2018,0.1588012,263,304.18887,0.004920853,0.07109615,3305.121,336.79584,0.000712,42.75646,127.1943,12.80459,4.95296
Grid_Cell_101,2019,0.13245037,70,306.7163,0.005255711,0.058329705,3102.9531,247.75848,0.000502,44.33623,136.21626,13.238886,4.719843
Grid_Cell_101,2020,0.12371383,75,345.26505,0.004847493,0.062219933,3521.4126,351.7912,0.000649,42.67506,150.5868,13.385462,5.2322407
Grid_Cell_101,2021,0.1488527,161,471.10983,0.005247919,0.052918226,3184.624,519.2554,0.00100189,30.311798,169.66296,13.329981,4.9697695
Grid_Cell_101,2022,0.1539216,449,479.36188,0.005076489,0.06690566,3332.3562,498.69107,0.001079952,29.54593,183.70113,13.243433,5.263969
Grid_Cell_101,2023,0.1408516,3063,496.1638,0.005547771,0.05326686,3136.8845,519.4012,0.00208075,31.333448,186.43494,13.884882,5.151495
Grid_Cell_101,2024,0.13604409,13110,390.59442,0.004835684,0.066017315,3588.3901,404.65457,0.001037447,43.959023,175.6234,13.679255,5.137535
Grid_Cell_101,2025,0.13383217,16728,466.97742,0.005311969,0.05639468,3231.512,470.5686,0.000668,41.044704,166.01312,13.664728,4.7184243
Grid_Cell_102,2000,0.14592439,0,383.11987,0.004990988,0.15851724,2894.7297,414.00076,0.000665,41.295956,151.07588,11.134455,4.1924624
