Grid_Cell,Year,Albedo,Conflict,Evap_mm,Humidity,NDVI,PET_mm,Rain_mm,Runoff_mm,SensHeat_Wm2,SoilM_mm,Temp_C,Wind_ms
Grid_Cell_101,2022,0.27790767,3730,592.71,0.008124362,0.08749068,4750.2705,773.07043,0.004975822,52.06079,198.09564,27.711542,4.1023593
Grid_Cell_101,2023,0.27790767,3549,622.1534,0.007944045,0.091910064,4864.0596,578.1013,0.002590705,48.202694,207.2198,29.14062,3.9582415
Grid_Cell_101,2024,0.2779882,4400,620.8445,0.008325812,0.09658131,4842.8325,710.8915,0.004951824,55.54683,195.6335,28.572107,4.0732517
Grid_Cell_101,2025,0.27790752,5521,590.3482,0.007518863,0.09366668,4826.5586,642.9791,0.004151942,50.106937,208.48946,28.901728,4.0146556
Grid_Cell_102,2000,0.2756995,142,545.5211,0.005572337,0.1862662,4313.9443,475.3543,0.000541,45.074574,204.16302,29.220179,2.640464
Grid_Cell_102,2001,0.2756318,108,514.1276,0.008277817,0.22019571,3874.9978,584.09424,0.00086,50.33802,189.95512,28.451197,2.4865677
Grid_Cell_102,2002,0.2756318,139,495.62372,0.007656314,0.19628152,4145.5166,474.79285,0.000489,54.68104,195.10501,29.384943,2.4209743
Grid_Cell_102,2003,0.2756318,183,518.3363,0.008839797,0.13085622,3823.4543,592.6295,0.000924,50.86902,202.84258,28.670954,2.3451777
Grid_Cell_102,2004,0.27570492,202,529.3097,0.008263261,0.2007279,3955.8887,551.3749,0.000912,51.04827,206.96957,29.187311,2.4223452
Grid_Cell_102,2005,0.2756318,114,548.0422,0.009233072,0.23940079,3892.802,609.4235,0.001097791,53.210564,212.85928,28.835321,2.5409882
Grid_Cell_102,2006,0.2756318,108,583.37787,0.008168554,0.15426777,4151.165,668.2295,0.001381188,48.167458,219.81824,29.144617,2.5733705
Grid_Cell_102,2007,0.2756318,184,568.1692,0.008215274,0.11482767,4186.446,629.1119,0.001009144,49.700054,225.56836,28.903833,2.7155206
Grid_Cell_102,2008,0.27570492,177,504.50958,0.008848431,0.19087012,3957.8384,621.69543,0.001469095,54.72881,218.23552,28.357111,2.6915276
Grid_Cell_102,2009,0.2756318,163,533.1511,0.008740958,0.28286785,4115.5825,506.3256,0.0007,49.194443,205.95277,29.720148,2.6979408
Grid_Cell_102,2010,0.2756318,329,541.8089,0.008679517,0.15497202,4239.3506,648.891,0.004050709,51.72142,204.0771,29.716394,2.6958592
Grid_Cell_102,2011,0.2756318,283,538.8713,0.008220405,0.13496718,4641.7773,485.66522,0.002220312,57.593204,198.85718,29.695093,3.3174398
Grid_Cell_102,2012,0.27570492,691,587.2621,0.008513169,0.27195483,4465.484,741.4568,0.004829594,52.29252,200.88544,29.878443,3.3414342
Grid_Cell_102,2013,0.2756318,739,553.127,0.00790591,0.090181515,4633.9556,550.52783,0.002879418,52.466896,206.7311,30.568567,3.2507408
Grid_Cell_102,2014,0.2756318,959,502.87082,0.008097153,0.08693499,4641.4365,496.34427,0.003755401,55.140114,187.51073,30.566431,3.259441
Grid_Cell_102,2015,0.2756318,955,533.9544,0.007464595,0.086516924,4648.9287,544.3157,0.003093695,54.590137,185.27182,29.288263,3.2926018
Grid_Cell_102,2016,0.27570492,792,276.6998,0.007714318,0.092623234,4683.645,161.92035,0.000504,69.08416,134.42346,29.703485,3.2175775
Grid_Cell_102,2017,0.2756318,952,208.22992,0.00759128,0.09142483,4981.937,203.06377,0.00077,77.68613,76.01134,29.4638,3.6477225
Grid_Cell_102,2018,0.2756318,1402,191.4531,0.007797856,0.09036182,5047.8223,190.41913,0.000396,83.07775,70.28603,29.636438,3.8154259
Grid_Cell_102,2019,0.2756318,1634,289.51944,0.008457228,0.0909755,4858.852,316.5372,0.001421699,75.1491,83.556015,29.301264,3.8405964
